模型,總參數B,活躍參數B,位元/參數,估算每token讀取GB,估算載入大小GB,實測TKS,執行結果,帶寬牆(VRAM/RAM/SSD),估算上限TKS
Qwen3.6-35B-A3B-UD Q3_K_XL,35.0,3.0,3.4,1.275,14.9,25,OK,RAM,31.4
gpt-oss-20b Q8_0,20.0,3.6,8.5,3.825,21.2,22,OK,RAM,10.5
ERNIE-4.5-21B-A3B-Thinking Q4_K_XL,21.0,3.0,4.85,1.819,12.7,,NA,RAM,22.0
Nemotron-3-Nano 30B-A3B Q4_0,30.0,3.0,4.5,1.688,16.9,12,OK,RAM,23.7
GLM-4.7-Flash-UD Q3_K_XL,,,3.4,,,30,OK,無法估算,
Ornith-1.5-35B-A3B IQ4_XS,35.0,3.0,4.25,1.594,18.6,37,OK,RAM,25.1
Ternary-Bonsai-2-27B PTQ1_0,27.0,,1.6,5.4,5.4,28,OK,VRAM,83.0
Qwen3.8-Flash-Next-UD Q2_K_XL (reap320),,,2.6,,,10,LOOP,無法估算,
K2-Horizon-MoVA-36B-A4B Q3_K_M,36.0,4.0,3.4,1.7,15.3,13,LOOP,RAM,23.5
Qwen3.8-Flash-Next-125B UltraLite-37GiB,125.0,6.0,2.37,1.778,37.0,6,OK,SSD/超池,1.7
Nex-N2.5-mini IQ2_M,,,2.7,,,39,OK,無法估算,
Huihui4-48B-A4B IQ3_M,48.0,4.0,3.66,1.83,22.0,17,OK,RAM,21.9
JoyAI-LLM-Flash IQ3_XS,,,3.3,,,21,OK,無法估算,
Muse-Glimmer-30B-UD Q4_K_XL,30.0,,4.85,18.188,18.2,1.5,OK,RAM,2.2
